SpineBase:2.079997,-1.757294,18.81505,0,0,0|SpineMid:2.081209,1.214708,19.11702,0,0,0|Neck:2.071737,4.073174,19.28885,0,0,0|Head:2.203363,5.49082,19.24502,0,0,0|ShoulderLeft:0.3812167,2.814796,19.14715,0,0,0|ElbowLeft:0.1613335,0.3707705,19.02378,0,0,0|WristLeft:0.1116294,-1.483059,17.85431,0,0,0|HandLeft:0.2647112,-2.020668,17.40444,0,0,0|ShoulderRight:3.795445,2.664619,18.91817,0,0,0|ElbowRight:3.979925,0.1801723,18.74691,0,0,0|WristRight:4.066903,-1.74844,17.81918,0,0,0|HandRight:3.944831,-2.49762,17.55052,0,0,0|HipLeft:1.301125,-1.737117,18.47704,0,0,0|KneeLeft:0.8038443,-5.078216,18.5489,0,0,0|AnkleLeft:0.4596901,-8.604611,19.14933,0,0,0|FootLeft:0.4042398,-8.842915,17.78566,0,0,0|HipRight:2.781169,-1.711704,18.45029,0,0,0|KneeRight:3.295646,-4.842524,17.97258,0,0,0|AnkleRight:3.857461,-8.393486,18.37613,0,0,0|FootRight:3.744633,-8.632366,17.01885,0,0,0|SpineShoulder:2.076191,3.373545,19.26819,0,0,0|HandTipLeft:0.4627552,-2.62941,17.05877,0,0,0|ThumbLeft:0.6785198,-1.849679,17.63412,0,0,0|HandTipRight:3.920366,-3.250737,17.28084,0,0,0|ThumbRight:4.339699,-2.551155,17.33911,0,0,0|
SpineBase:2.092568,-1.757417,18.81279,0,0,0|SpineMid:2.09942,1.217516,19.10349,0,0,0|Neck:2.096883,4.080685,19.25704,0,0,0|Head:2.231196,5.49677,19.21754,0,0,0|ShoulderLeft:0.4007196,2.831926,19.12421,0,0,0|ElbowLeft:0.1797674,0.3901656,19.01168,0,0,0|WristLeft:0.2353391,-1.482311,17.62664,0,0,0|HandLeft:0.3812829,-1.868266,17.24729,0,0,0|ShoulderRight:3.818294,2.671606,18.88697,0,0,0|ElbowRight:3.995002,0.1812538,18.7412,0,0,0|WristRight:4.075459,-1.757394,17.80575,0,0,0|HandRight:3.9586,-2.49437,17.53619,0,0,0|HipLeft:1.313852,-1.737752,18.47579,0,0,0|KneeLeft:0.8134363,-5.078713,18.55095,0,0,0|AnkleLeft:0.466558,-8.594957,19.14578,0,0,0|FootLeft:0.4088743,-8.834833,17.78251,0,0,0|HipRight:2.793243,-1.711237,18.44667,0,0,0|KneeRight:3.300197,-4.839849,17.9686,0,0,0|AnkleRight:3.859434,-8.36958,18.37864,0,0,0|FootRight:3.744433,-8.610275,17.02166,0,0,0|SpineShoulder:2.09966,3.379762,19.24148,0,0,0|HandTipLeft:0.5734312,-2.409636,16.89369,0,0,0|ThumbLeft:0.7823443,-1.670439,17.53,0,0,0|HandTipRight:3.917094,-3.217324,17.27296,0,0,0|ThumbRight:4.329726,-2.446708,17.27852,0,0,0|
SpineBase:2.092568,-1.757417,18.81279,0,0,0|SpineMid:2.09942,1.217516,19.10349,0,0,0|Neck:2.096883,4.080685,19.25704,0,0,0|Head:2.231196,5.49677,19.21754,0,0,0|ShoulderLeft:0.4007196,2.831926,19.12421,0,0,0|ElbowLeft:0.1797674,0.3901656,19.01168,0,0,0|WristLeft:0.2353391,-1.482311,17.62664,0,0,0|HandLeft:0.3812829,-1.868266,17.24729,0,0,0|ShoulderRight:3.818294,2.671606,18.88697,0,0,0|ElbowRight:3.995002,0.1812538,18.7412,0,0,0|WristRight:4.075459,-1.757394,17.80575,0,0,0|HandRight:3.9586,-2.49437,17.53619,0,0,0|HipLeft:1.313852,-1.737752,18.47579,0,0,0|KneeLeft:0.8134363,-5.078713,18.55095,0,0,0|AnkleLeft:0.466558,-8.594957,19.14578,0,0,0|FootLeft:0.4088743,-8.834833,17.78251,0,0,0|HipRight:2.793243,-1.711237,18.44667,0,0,0|KneeRight:3.300197,-4.839849,17.9686,0,0,0|AnkleRight:3.859434,-8.36958,18.37864,0,0,0|FootRight:3.744433,-8.610275,17.02166,0,0,0|SpineShoulder:2.09966,3.379762,19.24148,0,0,0|HandTipLeft:0.5734312,-2.409636,16.89369,0,0,0|ThumbLeft:0.7823443,-1.670439,17.53,0,0,0|HandTipRight:3.917094,-3.217324,17.27296,0,0,0|ThumbRight:4.329726,-2.446708,17.27852,0,0,0|
SpineBase:2.092568,-1.757417,18.81279,0,0,0|SpineMid:2.09942,1.217516,19.10349,0,0,0|Neck:2.096883,4.080685,19.25704,0,0,0|Head:2.231196,5.49677,19.21754,0,0,0|ShoulderLeft:0.4007196,2.831926,19.12421,0,0,0|ElbowLeft:0.1797674,0.3901656,19.01168,0,0,0|WristLeft:0.2353391,-1.482311,17.62664,0,0,0|HandLeft:0.3812829,-1.868266,17.24729,0,0,0|ShoulderRight:3.818294,2.671606,18.88697,0,0,0|ElbowRight:3.995002,0.1812538,18.7412,0,0,0|WristRight:4.075459,-1.757394,17.80575,0,0,0|HandRight:3.9586,-2.49437,17.53619,0,0,0|HipLeft:1.313852,-1.737752,18.47579,0,0,0|KneeLeft:0.8134363,-5.078713,18.55095,0,0,0|AnkleLeft:0.466558,-8.594957,19.14578,0,0,0|FootLeft:0.4088743,-8.834833,17.78251,0,0,0|HipRight:2.793243,-1.711237,18.44667,0,0,0|KneeRight:3.300197,-4.839849,17.9686,0,0,0|AnkleRight:3.859434,-8.36958,18.37864,0,0,0|FootRight:3.744433,-8.610275,17.02166,0,0,0|SpineShoulder:2.09966,3.379762,19.24148,0,0,0|HandTipLeft:0.5734312,-2.409636,16.89369,0,0,0|ThumbLeft:0.7823443,-1.670439,17.53,0,0,0|HandTipRight:3.917094,-3.217324,17.27296,0,0,0|ThumbRight:4.329726,-2.446708,17.27852,0,0,0|
SpineBase:2.104792,-1.757499,18.80705,0,0,0|SpineMid:2.109102,1.219902,19.09278,0,0,0|Neck:2.10331,4.085543,19.24136,0,0,0|Head:2.24333,5.501254,19.19899,0,0,0|ShoulderLeft:0.4140484,2.838051,19.10586,0,0,0|ElbowLeft:0.1837554,0.3985422,19.0099,0,0,0|WristLeft:0.298703,-1.472826,17.53727,0,0,0|HandLeft:0.4728916,-1.795937,17.16848,0,0,0|ShoulderRight:3.826288,2.67587,18.87151,0,0,0|ElbowRight:4.003192,0.1888544,18.74202,0,0,0|WristRight:4.081146,-1.746132,17.8065,0,0,0|HandRight:3.959823,-2.472752,17.51302,0,0,0|HipLeft:1.324702,-1.737232,18.46991,0,0,0|KneeLeft:0.8194755,-5.072824,18.55088,0,0,0|AnkleLeft:0.4675692,-8.597489,19.1449,0,0,0|FootLeft:0.4106386,-8.837868,17.7817,0,0,0|HipRight:2.806372,-1.711961,18.44097,0,0,0|KneeRight:3.301629,-4.841763,17.96326,0,0,0|AnkleRight:3.869658,-8.41386,18.38343,0,0,0|FootRight:3.755331,-8.65452,17.02679,0,0,0|SpineShoulder:2.106997,3.384017,19.22699,0,0,0|HandTipLeft:0.6367031,-2.296678,16.85575,0,0,0|ThumbLeft:0.8754667,-1.71715,17.39227,0,0,0|HandTipRight:3.881744,-3.200314,17.22163,0,0,0|ThumbRight:4.339089,-2.469129,17.25187,0,0,0|
SpineBase:2.121455,-1.757454,18.79749,0,0,0|SpineMid:2.123026,1.221294,19.07849,0,0,0|Neck:2.113535,4.087806,19.22363,0,0,0|Head:2.25313,5.504695,19.18661,0,0,0|ShoulderLeft:0.4457871,2.855097,19.07301,0,0,0|ElbowLeft:0.2061336,0.4257916,19.01205,0,0,0|WristLeft:0.3764535,-1.454217,17.45649,0,0,0|HandLeft:0.5702335,-1.72659,17.07203,0,0,0|ShoulderRight:3.830906,2.677875,18.84447,0,0,0|ElbowRight:4.010365,0.195033,18.74696,0,0,0|WristRight:4.088549,-1.728277,17.80922,0,0,0|HandRight:3.970917,-2.465383,17.50755,0,0,0|HipLeft:1.342532,-1.737658,18.45905,0,0,0|KneeLeft:0.8264164,-5.07073,18.54964,0,0,0|AnkleLeft:0.473104,-8.656737,19.16134,0,0,0|FootLeft:0.4181229,-8.896838,17.79839,0,0,0|HipRight:2.821182,-1.711474,18.4326,0,0,0|KneeRight:3.30427,-4.839773,17.95678,0,0,0|AnkleRight:3.876463,-8.422479,18.38367,0,0,0|FootRight:3.764063,-8.66346,17.02703,0,0,0|SpineShoulder:2.118199,3.386125,19.20995,0,0,0|HandTipLeft:0.7124555,-2.170894,16.75869,0,0,0|ThumbLeft:0.958354,-1.718669,17.1865,0,0,0|HandTipRight:3.900997,-3.149899,17.20504,0,0,0|ThumbRight:4.351418,-2.464608,17.20667,0,0,0|
SpineBase:2.121455,-1.757454,18.79749,0,0,0|SpineMid:2.123026,1.221294,19.07849,0,0,0|Neck:2.113535,4.087806,19.22363,0,0,0|Head:2.25313,5.504695,19.18661,0,0,0|ShoulderLeft:0.4457871,2.855097,19.07301,0,0,0|ElbowLeft:0.2061336,0.4257916,19.01205,0,0,0|WristLeft:0.3764535,-1.454217,17.45649,0,0,0|HandLeft:0.5702335,-1.72659,17.07203,0,0,0|ShoulderRight:3.830906,2.677875,18.84447,0,0,0|ElbowRight:4.010365,0.195033,18.74696,0,0,0|WristRight:4.088549,-1.728277,17.80922,0,0,0|HandRight:3.970917,-2.465383,17.50755,0,0,0|HipLeft:1.342532,-1.737658,18.45905,0,0,0|KneeLeft:0.8264164,-5.07073,18.54964,0,0,0|AnkleLeft:0.473104,-8.656737,19.16134,0,0,0|FootLeft:0.4181229,-8.896838,17.79839,0,0,0|HipRight:2.821182,-1.711474,18.4326,0,0,0|KneeRight:3.30427,-4.839773,17.95678,0,0,0|AnkleRight:3.876463,-8.422479,18.38367,0,0,0|FootRight:3.764063,-8.66346,17.02703,0,0,0|SpineShoulder:2.118199,3.386125,19.20995,0,0,0|HandTipLeft:0.7124555,-2.170894,16.75869,0,0,0|ThumbLeft:0.958354,-1.718669,17.1865,0,0,0|HandTipRight:3.900997,-3.149899,17.20504,0,0,0|ThumbRight:4.351418,-2.464608,17.20667,0,0,0|
SpineBase:2.127215,-1.757128,18.79425,0,0,0|SpineMid:2.133062,1.223123,19.06799,0,0,0|Neck:2.127717,4.09146,19.20384,0,0,0|Head:2.267292,5.504911,19.16807,0,0,0|ShoulderLeft:0.4644301,2.86412,19.05333,0,0,0|ElbowLeft:0.2306935,0.4624377,18.99918,0,0,0|WristLeft:0.4005303,-1.445425,17.46522,0,0,0|HandLeft:0.6409097,-1.689945,17.03574,0,0,0|ShoulderRight:3.835714,2.683449,18.82751,0,0,0|ElbowRight:4.017982,0.199776,18.75101,0,0,0|WristRight:4.094619,-1.722896,17.81062,0,0,0|HandRight:3.993853,-2.461101,17.51009,0,0,0|HipLeft:1.347767,-1.73705,18.45569,0,0,0|KneeLeft:0.8358532,-5.067415,18.54546,0,0,0|AnkleLeft:0.4920565,-8.586367,19.1397,0,0,0|FootLeft:0.4373449,-8.828123,17.77653,0,0,0|HipRight:2.827201,-1.711443,18.42945,0,0,0|KneeRight:3.305454,-4.825971,17.92727,0,0,0|AnkleRight:3.874779,-8.424927,18.38006,0,0,0|FootRight:3.763,-8.666671,17.02359,0,0,0|SpineShoulder:2.131374,3.389334,19.19257,0,0,0|HandTipLeft:0.785659,-2.108382,16.72327,0,0,0|ThumbLeft:0.9994897,-1.565123,17.16105,0,0,0|HandTipRight:3.95632,-3.104327,17.17877,0,0,0|ThumbRight:4.390139,-2.535283,17.19053,0,0,0|
SpineBase:2.127215,-1.757128,18.79425,0,0,0|SpineMid:2.133062,1.223123,19.06799,0,0,0|Neck:2.127717,4.09146,19.20384,0,0,0|Head:2.267292,5.504911,19.16807,0,0,0|ShoulderLeft:0.4644301,2.86412,19.05333,0,0,0|ElbowLeft:0.2306935,0.4624377,18.99918,0,0,0|WristLeft:0.4005303,-1.445425,17.46522,0,0,0|HandLeft:0.6409097,-1.689945,17.03574,0,0,0|ShoulderRight:3.835714,2.683449,18.82751,0,0,0|ElbowRight:4.017982,0.199776,18.75101,0,0,0|WristRight:4.094619,-1.722896,17.81062,0,0,0|HandRight:3.993853,-2.461101,17.51009,0,0,0|HipLeft:1.347767,-1.73705,18.45569,0,0,0|KneeLeft:0.8358532,-5.067415,18.54546,0,0,0|AnkleLeft:0.4920565,-8.586367,19.1397,0,0,0|FootLeft:0.4373449,-8.828123,17.77653,0,0,0|HipRight:2.827201,-1.711443,18.42945,0,0,0|KneeRight:3.305454,-4.825971,17.92727,0,0,0|AnkleRight:3.874779,-8.424927,18.38006,0,0,0|FootRight:3.763,-8.666671,17.02359,0,0,0|SpineShoulder:2.131374,3.389334,19.19257,0,0,0|HandTipLeft:0.785659,-2.108382,16.72327,0,0,0|ThumbLeft:0.9994897,-1.565123,17.16105,0,0,0|HandTipRight:3.95632,-3.104327,17.17877,0,0,0|ThumbRight:4.390139,-2.535283,17.19053,0,0,0|
SpineBase:2.127215,-1.757128,18.79425,0,0,0|SpineMid:2.133062,1.223123,19.06799,0,0,0|Neck:2.127717,4.09146,19.20384,0,0,0|Head:2.267292,5.504911,19.16807,0,0,0|ShoulderLeft:0.4644301,2.86412,19.05333,0,0,0|ElbowLeft:0.2306935,0.4624377,18.99918,0,0,0|WristLeft:0.4005303,-1.445425,17.46522,0,0,0|HandLeft:0.6409097,-1.689945,17.03574,0,0,0|ShoulderRight:3.835714,2.683449,18.82751,0,0,0|ElbowRight:4.017982,0.199776,18.75101,0,0,0|WristRight:4.094619,-1.722896,17.81062,0,0,0|HandRight:3.993853,-2.461101,17.51009,0,0,0|HipLeft:1.347767,-1.73705,18.45569,0,0,0|KneeLeft:0.8358532,-5.067415,18.54546,0,0,0|AnkleLeft:0.4920565,-8.586367,19.1397,0,0,0|FootLeft:0.4373449,-8.828123,17.77653,0,0,0|HipRight:2.827201,-1.711443,18.42945,0,0,0|KneeRight:3.305454,-4.825971,17.92727,0,0,0|AnkleRight:3.874779,-8.424927,18.38006,0,0,0|FootRight:3.763,-8.666671,17.02359,0,0,0|SpineShoulder:2.131374,3.389334,19.19257,0,0,0|HandTipLeft:0.785659,-2.108382,16.72327,0,0,0|ThumbLeft:0.9994897,-1.565123,17.16105,0,0,0|HandTipRight:3.95632,-3.104327,17.17877,0,0,0|ThumbRight:4.390139,-2.535283,17.19053,0,0,0|
SpineBase:2.171393,-1.778048,18.78239,0,0,0|SpineMid:2.1839,1.207131,19.02941,0,0,0|Neck:2.185751,4.080232,19.13347,0,0,0|Head:2.307065,5.491035,19.10453,0,0,0|ShoulderLeft:0.4926749,2.84451,19.01215,0,0,0|ElbowLeft:0.3479725,0.4325732,18.8474,0,0,0|WristLeft:0.514633,-1.611782,17.41145,0,0,0|HandLeft:0.5661344,-2.045778,17.18014,0,0,0|ShoulderRight:3.862415,2.663863,18.72965,0,0,0|ElbowRight:4.027025,0.1994939,18.75218,0,0,0|WristRight:4.151654,-1.704776,17.81353,0,0,0|HandRight:4.191268,-2.376583,17.45005,0,0,0|HipLeft:1.387066,-1.758103,18.44637,0,0,0|KneeLeft:0.8651363,-5.030585,18.44811,0,0,0|AnkleLeft:0.5096346,-8.541526,19.07882,0,0,0|FootLeft:0.4367474,-8.786757,17.71752,0,0,0|HipRight:2.874863,-1.731371,18.4149,0,0,0|KneeRight:3.307911,-4.882309,17.71874,0,0,0|AnkleRight:3.864459,-8.422367,18.28392,0,0,0|FootRight:3.734716,-8.66677,16.9297,0,0,0|SpineShoulder:2.187716,3.376906,19.13055,0,0,0|HandTipLeft:0.7049579,-2.56609,16.90616,0,0,0|ThumbLeft:0.9428467,-1.862035,17.2412,0,0,0|HandTipRight:4.258972,-2.846574,16.90388,0,0,0|ThumbRight:4.468174,-2.157796,16.9696,0,0,0|
