SpineBase:3.76997,-1.999297,20.78053,0,0,0|SpineMid:3.717521,0.9989455,21.17349,0,0,0|Neck:3.645964,3.893715,21.43349,0,0,0|Head:3.857278,5.314808,21.46295,0,0,0|ShoulderLeft:2.203334,2.708533,21.28195,0,0,0|ElbowLeft:1.5662,0.2343408,21.58587,0,0,0|WristLeft:0.4813165,-1.660589,21.36106,0,0,0|HandLeft:0.04206653,-1.963614,21.2674,0,0,0|ShoulderRight:5.384324,2.543886,21.29207,0,0,0|ElbowRight:6.105648,-0.01114516,21.34621,0,0,0|WristRight:7.301297,-1.685341,20.56805,0,0,0|HandRight:7.478307,-1.792599,20.54508,0,0,0|HipLeft:2.980145,-1.940878,20.42253,0,0,0|KneeLeft:2.693634,-5.326323,18.99812,0,0,0|AnkleLeft:2.407502,-8.199675,18.17174,0,0,0|FootLeft:2.397531,-8.421544,16.80099,0,0,0|HipRight:4.429697,-1.988225,20.42364,0,0,0|KneeRight:4.284214,-5.706779,20.39268,0,0,0|AnkleRight:3.880741,-8.961292,21.27638,0,0,0|FootRight:4.139739,-9.716052,20.93351,0,0,0|SpineShoulder:3.667315,3.183682,21.39133,0,0,0|HandTipLeft:-0.5225294,-2.462612,21.03662,0,0,0|ThumbLeft:0.2226536,-2.297246,21.09294,0,0,0|HandTipRight:8.143791,-2.133542,20.37719,0,0,0|ThumbRight:7.210668,-2.126538,20.39409,0,0,0|
SpineBase:3.774525,-1.995727,20.75945,0,0,0|SpineMid:3.721745,1.002667,21.15916,0,0,0|Neck:3.649672,3.897155,21.42494,0,0,0|Head:3.867561,5.316754,21.45453,0,0,0|ShoulderLeft:2.231119,2.712064,21.22989,0,0,0|ElbowLeft:1.554824,0.2596359,21.5649,0,0,0|WristLeft:0.4405332,-1.616965,21.31713,0,0,0|HandLeft:0.01984865,-1.884885,21.23573,0,0,0|ShoulderRight:5.389447,2.550757,21.27192,0,0,0|ElbowRight:6.105162,-0.02281737,21.35899,0,0,0|WristRight:7.287059,-1.716899,20.60658,0,0,0|HandRight:7.474768,-1.804634,20.58652,0,0,0|HipLeft:2.98413,-1.937252,20.39811,0,0,0|KneeLeft:2.703614,-5.322072,18.97584,0,0,0|AnkleLeft:2.40849,-8.184464,18.15543,0,0,0|FootLeft:2.408825,-8.405827,16.78479,0,0,0|HipRight:4.434419,-1.985023,20.4064,0,0,0|KneeRight:4.291124,-5.701393,20.37963,0,0,0|AnkleRight:3.880242,-8.967206,21.26857,0,0,0|FootRight:4.150238,-9.717594,20.97589,0,0,0|SpineShoulder:3.671169,3.187224,21.38145,0,0,0|HandTipLeft:-0.505319,-2.38089,21.10485,0,0,0|ThumbLeft:0.2037477,-2.23168,21.0525,0,0,0|HandTipRight:8.104611,-2.134438,20.40173,0,0,0|ThumbRight:7.202372,-2.145447,20.4265,0,0,0|
SpineBase:3.774525,-1.995727,20.75945,0,0,0|SpineMid:3.721745,1.002667,21.15916,0,0,0|Neck:3.649672,3.897155,21.42494,0,0,0|Head:3.867561,5.316754,21.45453,0,0,0|ShoulderLeft:2.231119,2.712064,21.22989,0,0,0|ElbowLeft:1.554824,0.2596359,21.5649,0,0,0|WristLeft:0.4405332,-1.616965,21.31713,0,0,0|HandLeft:0.01984865,-1.884885,21.23573,0,0,0|ShoulderRight:5.389447,2.550757,21.27192,0,0,0|ElbowRight:6.105162,-0.02281737,21.35899,0,0,0|WristRight:7.287059,-1.716899,20.60658,0,0,0|HandRight:7.474768,-1.804634,20.58652,0,0,0|HipLeft:2.98413,-1.937252,20.39811,0,0,0|KneeLeft:2.703614,-5.322072,18.97584,0,0,0|AnkleLeft:2.40849,-8.184464,18.15543,0,0,0|FootLeft:2.408825,-8.405827,16.78479,0,0,0|HipRight:4.434419,-1.985023,20.4064,0,0,0|KneeRight:4.291124,-5.701393,20.37963,0,0,0|AnkleRight:3.880242,-8.967206,21.26857,0,0,0|FootRight:4.150238,-9.717594,20.97589,0,0,0|SpineShoulder:3.671169,3.187224,21.38145,0,0,0|HandTipLeft:-0.505319,-2.38089,21.10485,0,0,0|ThumbLeft:0.2037477,-2.23168,21.0525,0,0,0|HandTipRight:8.104611,-2.134438,20.40173,0,0,0|ThumbRight:7.202372,-2.145447,20.4265,0,0,0|
SpineBase:3.774525,-1.995727,20.75945,0,0,0|SpineMid:3.721745,1.002667,21.15916,0,0,0|Neck:3.649672,3.897155,21.42494,0,0,0|Head:3.867561,5.316754,21.45453,0,0,0|ShoulderLeft:2.231119,2.712064,21.22989,0,0,0|ElbowLeft:1.554824,0.2596359,21.5649,0,0,0|WristLeft:0.4405332,-1.616965,21.31713,0,0,0|HandLeft:0.01984865,-1.884885,21.23573,0,0,0|ShoulderRight:5.389447,2.550757,21.27192,0,0,0|ElbowRight:6.105162,-0.02281737,21.35899,0,0,0|WristRight:7.287059,-1.716899,20.60658,0,0,0|HandRight:7.474768,-1.804634,20.58652,0,0,0|HipLeft:2.98413,-1.937252,20.39811,0,0,0|KneeLeft:2.703614,-5.322072,18.97584,0,0,0|AnkleLeft:2.40849,-8.184464,18.15543,0,0,0|FootLeft:2.408825,-8.405827,16.78479,0,0,0|HipRight:4.434419,-1.985023,20.4064,0,0,0|KneeRight:4.291124,-5.701393,20.37963,0,0,0|AnkleRight:3.880242,-8.967206,21.26857,0,0,0|FootRight:4.150238,-9.717594,20.97589,0,0,0|SpineShoulder:3.671169,3.187224,21.38145,0,0,0|HandTipLeft:-0.505319,-2.38089,21.10485,0,0,0|ThumbLeft:0.2037477,-2.23168,21.0525,0,0,0|HandTipRight:8.104611,-2.134438,20.40173,0,0,0|ThumbRight:7.202372,-2.145447,20.4265,0,0,0|
SpineBase:3.774525,-1.995727,20.75945,0,0,0|SpineMid:3.721745,1.002667,21.15916,0,0,0|Neck:3.649672,3.897155,21.42494,0,0,0|Head:3.867561,5.316754,21.45453,0,0,0|ShoulderLeft:2.231119,2.712064,21.22989,0,0,0|ElbowLeft:1.554824,0.2596359,21.5649,0,0,0|WristLeft:0.4405332,-1.616965,21.31713,0,0,0|HandLeft:0.01984865,-1.884885,21.23573,0,0,0|ShoulderRight:5.389447,2.550757,21.27192,0,0,0|ElbowRight:6.105162,-0.02281737,21.35899,0,0,0|WristRight:7.287059,-1.716899,20.60658,0,0,0|HandRight:7.474768,-1.804634,20.58652,0,0,0|HipLeft:2.98413,-1.937252,20.39811,0,0,0|KneeLeft:2.703614,-5.322072,18.97584,0,0,0|AnkleLeft:2.40849,-8.184464,18.15543,0,0,0|FootLeft:2.408825,-8.405827,16.78479,0,0,0|HipRight:4.434419,-1.985023,20.4064,0,0,0|KneeRight:4.291124,-5.701393,20.37963,0,0,0|AnkleRight:3.880242,-8.967206,21.26857,0,0,0|FootRight:4.150238,-9.717594,20.97589,0,0,0|SpineShoulder:3.671169,3.187224,21.38145,0,0,0|HandTipLeft:-0.505319,-2.38089,21.10485,0,0,0|ThumbLeft:0.2037477,-2.23168,21.0525,0,0,0|HandTipRight:8.104611,-2.134438,20.40173,0,0,0|ThumbRight:7.202372,-2.145447,20.4265,0,0,0|
SpineBase:3.774525,-1.995727,20.75945,0,0,0|SpineMid:3.721745,1.002667,21.15916,0,0,0|Neck:3.649672,3.897155,21.42494,0,0,0|Head:3.867561,5.316754,21.45453,0,0,0|ShoulderLeft:2.231119,2.712064,21.22989,0,0,0|ElbowLeft:1.554824,0.2596359,21.5649,0,0,0|WristLeft:0.4405332,-1.616965,21.31713,0,0,0|HandLeft:0.01984865,-1.884885,21.23573,0,0,0|ShoulderRight:5.389447,2.550757,21.27192,0,0,0|ElbowRight:6.105162,-0.02281737,21.35899,0,0,0|WristRight:7.287059,-1.716899,20.60658,0,0,0|HandRight:7.474768,-1.804634,20.58652,0,0,0|HipLeft:2.98413,-1.937252,20.39811,0,0,0|KneeLeft:2.703614,-5.322072,18.97584,0,0,0|AnkleLeft:2.40849,-8.184464,18.15543,0,0,0|FootLeft:2.408825,-8.405827,16.78479,0,0,0|HipRight:4.434419,-1.985023,20.4064,0,0,0|KneeRight:4.291124,-5.701393,20.37963,0,0,0|AnkleRight:3.880242,-8.967206,21.26857,0,0,0|FootRight:4.150238,-9.717594,20.97589,0,0,0|SpineShoulder:3.671169,3.187224,21.38145,0,0,0|HandTipLeft:-0.505319,-2.38089,21.10485,0,0,0|ThumbLeft:0.2037477,-2.23168,21.0525,0,0,0|HandTipRight:8.104611,-2.134438,20.40173,0,0,0|ThumbRight:7.202372,-2.145447,20.4265,0,0,0|
SpineBase:3.812134,-2.035579,20.72778,0,0,0|SpineMid:3.74767,0.9731088,21.11883,0,0,0|Neck:3.666005,3.875642,21.37422,0,0,0|Head:3.941241,5.261808,21.40915,0,0,0|ShoulderLeft:2.309736,2.650739,20.98891,0,0,0|ElbowLeft:1.506579,0.2325343,21.50064,0,0,0|WristLeft:0.4032853,-1.653057,21.30229,0,0,0|HandLeft:0.0297385,-1.931495,21.27477,0,0,0|ShoulderRight:5.396529,2.5079,21.26681,0,0,0|ElbowRight:6.125156,-0.1324808,21.36689,0,0,0|WristRight:7.356749,-1.807241,20.66356,0,0,0|HandRight:7.658796,-1.92685,20.69315,0,0,0|HipLeft:3.026509,-1.977338,20.33054,0,0,0|KneeLeft:2.700246,-5.30039,18.39871,0,0,0|AnkleLeft:2.427276,-8.216729,18.08574,0,0,0|FootLeft:2.503732,-8.437261,16.72154,0,0,0|HipRight:4.471448,-2.02827,20.40041,0,0,0|KneeRight:4.360348,-5.672632,20.22309,0,0,0|AnkleRight:3.875414,-9.008005,21.24113,0,0,0|FootRight:4.176263,-9.743883,20.98247,0,0,0|SpineShoulder:3.689831,3.163826,21.33356,0,0,0|HandTipLeft:-0.5855951,-2.463562,21.08277,0,0,0|ThumbLeft:0.2138264,-2.280675,21.09988,0,0,0|HandTipRight:8.319365,-2.304183,20.55858,0,0,0|ThumbRight:7.428062,-2.305534,20.4325,0,0,0|
SpineBase:3.812134,-2.035579,20.72778,0,0,0|SpineMid:3.74767,0.9731088,21.11883,0,0,0|Neck:3.666005,3.875642,21.37422,0,0,0|Head:3.941241,5.261808,21.40915,0,0,0|ShoulderLeft:2.309736,2.650739,20.98891,0,0,0|ElbowLeft:1.506579,0.2325343,21.50064,0,0,0|WristLeft:0.4032853,-1.653057,21.30229,0,0,0|HandLeft:0.0297385,-1.931495,21.27477,0,0,0|ShoulderRight:5.396529,2.5079,21.26681,0,0,0|ElbowRight:6.125156,-0.1324808,21.36689,0,0,0|WristRight:7.356749,-1.807241,20.66356,0,0,0|HandRight:7.658796,-1.92685,20.69315,0,0,0|HipLeft:3.026509,-1.977338,20.33054,0,0,0|KneeLeft:2.700246,-5.30039,18.39871,0,0,0|AnkleLeft:2.427276,-8.216729,18.08574,0,0,0|FootLeft:2.503732,-8.437261,16.72154,0,0,0|HipRight:4.471448,-2.02827,20.40041,0,0,0|KneeRight:4.360348,-5.672632,20.22309,0,0,0|AnkleRight:3.875414,-9.008005,21.24113,0,0,0|FootRight:4.176263,-9.743883,20.98247,0,0,0|SpineShoulder:3.689831,3.163826,21.33356,0,0,0|HandTipLeft:-0.5855951,-2.463562,21.08277,0,0,0|ThumbLeft:0.2138264,-2.280675,21.09988,0,0,0|HandTipRight:8.319365,-2.304183,20.55858,0,0,0|ThumbRight:7.428062,-2.305534,20.4325,0,0,0|
SpineBase:3.812134,-2.035579,20.72778,0,0,0|SpineMid:3.74767,0.9731088,21.11883,0,0,0|Neck:3.666005,3.875642,21.37422,0,0,0|Head:3.941241,5.261808,21.40915,0,0,0|ShoulderLeft:2.309736,2.650739,20.98891,0,0,0|ElbowLeft:1.506579,0.2325343,21.50064,0,0,0|WristLeft:0.4032853,-1.653057,21.30229,0,0,0|HandLeft:0.0297385,-1.931495,21.27477,0,0,0|ShoulderRight:5.396529,2.5079,21.26681,0,0,0|ElbowRight:6.125156,-0.1324808,21.36689,0,0,0|WristRight:7.356749,-1.807241,20.66356,0,0,0|HandRight:7.658796,-1.92685,20.69315,0,0,0|HipLeft:3.026509,-1.977338,20.33054,0,0,0|KneeLeft:2.700246,-5.30039,18.39871,0,0,0|AnkleLeft:2.427276,-8.216729,18.08574,0,0,0|FootLeft:2.503732,-8.437261,16.72154,0,0,0|HipRight:4.471448,-2.02827,20.40041,0,0,0|KneeRight:4.360348,-5.672632,20.22309,0,0,0|AnkleRight:3.875414,-9.008005,21.24113,0,0,0|FootRight:4.176263,-9.743883,20.98247,0,0,0|SpineShoulder:3.689831,3.163826,21.33356,0,0,0|HandTipLeft:-0.5855951,-2.463562,21.08277,0,0,0|ThumbLeft:0.2138264,-2.280675,21.09988,0,0,0|HandTipRight:8.319365,-2.304183,20.55858,0,0,0|ThumbRight:7.428062,-2.305534,20.4325,0,0,0|
SpineBase:3.812134,-2.035579,20.72778,0,0,0|SpineMid:3.74767,0.9731088,21.11883,0,0,0|Neck:3.666005,3.875642,21.37422,0,0,0|Head:3.941241,5.261808,21.40915,0,0,0|ShoulderLeft:2.309736,2.650739,20.98891,0,0,0|ElbowLeft:1.506579,0.2325343,21.50064,0,0,0|WristLeft:0.4032853,-1.653057,21.30229,0,0,0|HandLeft:0.0297385,-1.931495,21.27477,0,0,0|ShoulderRight:5.396529,2.5079,21.26681,0,0,0|ElbowRight:6.125156,-0.1324808,21.36689,0,0,0|WristRight:7.356749,-1.807241,20.66356,0,0,0|HandRight:7.658796,-1.92685,20.69315,0,0,0|HipLeft:3.026509,-1.977338,20.33054,0,0,0|KneeLeft:2.700246,-5.30039,18.39871,0,0,0|AnkleLeft:2.427276,-8.216729,18.08574,0,0,0|FootLeft:2.503732,-8.437261,16.72154,0,0,0|HipRight:4.471448,-2.02827,20.40041,0,0,0|KneeRight:4.360348,-5.672632,20.22309,0,0,0|AnkleRight:3.875414,-9.008005,21.24113,0,0,0|FootRight:4.176263,-9.743883,20.98247,0,0,0|SpineShoulder:3.689831,3.163826,21.33356,0,0,0|HandTipLeft:-0.5855951,-2.463562,21.08277,0,0,0|ThumbLeft:0.2138264,-2.280675,21.09988,0,0,0|HandTipRight:8.319365,-2.304183,20.55858,0,0,0|ThumbRight:7.428062,-2.305534,20.4325,0,0,0|
SpineBase:3.812134,-2.035579,20.72778,0,0,0|SpineMid:3.74767,0.9731088,21.11883,0,0,0|Neck:3.666005,3.875642,21.37422,0,0,0|Head:3.941241,5.261808,21.40915,0,0,0|ShoulderLeft:2.309736,2.650739,20.98891,0,0,0|ElbowLeft:1.506579,0.2325343,21.50064,0,0,0|WristLeft:0.4032853,-1.653057,21.30229,0,0,0|HandLeft:0.0297385,-1.931495,21.27477,0,0,0|ShoulderRight:5.396529,2.5079,21.26681,0,0,0|ElbowRight:6.125156,-0.1324808,21.36689,0,0,0|WristRight:7.356749,-1.807241,20.66356,0,0,0|HandRight:7.658796,-1.92685,20.69315,0,0,0|HipLeft:3.026509,-1.977338,20.33054,0,0,0|KneeLeft:2.700246,-5.30039,18.39871,0,0,0|AnkleLeft:2.427276,-8.216729,18.08574,0,0,0|FootLeft:2.503732,-8.437261,16.72154,0,0,0|HipRight:4.471448,-2.02827,20.40041,0,0,0|KneeRight:4.360348,-5.672632,20.22309,0,0,0|AnkleRight:3.875414,-9.008005,21.24113,0,0,0|FootRight:4.176263,-9.743883,20.98247,0,0,0|SpineShoulder:3.689831,3.163826,21.33356,0,0,0|HandTipLeft:-0.5855951,-2.463562,21.08277,0,0,0|ThumbLeft:0.2138264,-2.280675,21.09988,0,0,0|HandTipRight:8.319365,-2.304183,20.55858,0,0,0|ThumbRight:7.428062,-2.305534,20.4325,0,0,0|
