SpineBase:-6.844658,-2.939188,23.73568,0,0,0|SpineMid:-6.596487,-0.06293724,23.50909,0,0,0|Neck:-6.333139,2.769369,23.15407,0,0,0|Head:-5.909252,4.054992,23.10493,0,0,0|ShoulderLeft:-7.652231,1.694115,22.40165,0,0,0|ElbowLeft:-9.158965,0.2869102,21.68136,0,0,0|WristLeft:-8.286391,1.204901,19.74026,0,0,0|HandLeft:-8.34224,1.404647,18.95716,0,0,0|ShoulderRight:-5.00014,1.676939,23.80106,0,0,0|ElbowRight:-5.01301,-0.3388029,25.1794,0,0,0|WristRight:-3.375936,-0.08556619,24.16977,0,0,0|HandRight:-3.508666,0.1411839,24.27191,0,0,0|HipLeft:-7.397861,-2.854244,23.08484,0,0,0|KneeLeft:-7.142754,-6.288283,22.66422,0,0,0|AnkleLeft:-7.458484,-9.411355,23.35988,0,0,0|FootLeft:-7.039345,-10.14675,23.16204,0,0,0|HipRight:-6.10722,-2.936927,23.73764,0,0,0|KneeRight:-6.076374,-6.042445,22.90683,0,0,0|AnkleRight:-6.466337,-9.260794,23.38348,0,0,0|FootRight:-5.924423,-9.590952,22.2022,0,0,0|SpineShoulder:-6.408616,2.069466,23.26938,0,0,0|HandTipLeft:-8.151208,1.720272,18.59472,0,0,0|ThumbLeft:-8.001993,1.494334,19.02218,0,0,0|HandTipRight:-3.142638,0.4690576,24.06069,0,0,0|ThumbRight:-3.244939,-0.140063,24.15437,0,0,0|
SpineBase:-6.855875,-2.916388,23.74329,0,0,0|SpineMid:-6.593657,-0.0349092,23.50871,0,0,0|Neck:-6.30825,2.800819,23.14486,0,0,0|Head:-5.878015,4.08485,23.12687,0,0,0|ShoulderLeft:-7.61914,1.729937,22.36643,0,0,0|ElbowLeft:-8.905913,0.8062969,21.25446,0,0,0|WristLeft:-8.713993,0.7452331,19.13557,0,0,0|HandLeft:-8.47014,1.061397,18.49692,0,0,0|ShoulderRight:-5.070063,1.756881,23.58308,0,0,0|ElbowRight:-5.074091,-0.1600618,25.08154,0,0,0|WristRight:-4.201076,-0.01124172,24.59328,0,0,0|HandRight:-3.594713,0.08901175,24.37097,0,0,0|HipLeft:-7.413245,-2.829847,23.08128,0,0,0|KneeLeft:-7.153395,-6.287214,22.67942,0,0,0|AnkleLeft:-7.56562,-9.435719,23.34572,0,0,0|FootLeft:-7.045249,-9.766387,22.15206,0,0,0|HipRight:-6.112928,-2.916358,23.75185,0,0,0|KneeRight:-6.119334,-6.03547,22.96644,0,0,0|AnkleRight:-6.525077,-9.290449,23.44545,0,0,0|FootRight:-6.017414,-9.62188,22.24766,0,0,0|SpineShoulder:-6.388721,2.100843,23.2614,0,0,0|HandTipLeft:-8.155545,1.378899,17.96617,0,0,0|ThumbLeft:-8.130177,1.216795,18.54083,0,0,0|HandTipRight:-3.184547,0.3467626,24.18567,0,0,0|ThumbRight:-3.415926,-0.2250217,24.24667,0,0,0|
SpineBase:-6.855875,-2.916388,23.74329,0,0,0|SpineMid:-6.593657,-0.0349092,23.50871,0,0,0|Neck:-6.30825,2.800819,23.14486,0,0,0|Head:-5.878015,4.08485,23.12687,0,0,0|ShoulderLeft:-7.61914,1.729937,22.36643,0,0,0|ElbowLeft:-8.905913,0.8062969,21.25446,0,0,0|WristLeft:-8.713993,0.7452331,19.13557,0,0,0|HandLeft:-8.47014,1.061397,18.49692,0,0,0|ShoulderRight:-5.070063,1.756881,23.58308,0,0,0|ElbowRight:-5.074091,-0.1600618,25.08154,0,0,0|WristRight:-4.201076,-0.01124172,24.59328,0,0,0|HandRight:-3.594713,0.08901175,24.37097,0,0,0|HipLeft:-7.413245,-2.829847,23.08128,0,0,0|KneeLeft:-7.153395,-6.287214,22.67942,0,0,0|AnkleLeft:-7.56562,-9.435719,23.34572,0,0,0|FootLeft:-7.045249,-9.766387,22.15206,0,0,0|HipRight:-6.112928,-2.916358,23.75185,0,0,0|KneeRight:-6.119334,-6.03547,22.96644,0,0,0|AnkleRight:-6.525077,-9.290449,23.44545,0,0,0|FootRight:-6.017414,-9.62188,22.24766,0,0,0|SpineShoulder:-6.388721,2.100843,23.2614,0,0,0|HandTipLeft:-8.155545,1.378899,17.96617,0,0,0|ThumbLeft:-8.130177,1.216795,18.54083,0,0,0|HandTipRight:-3.184547,0.3467626,24.18567,0,0,0|ThumbRight:-3.415926,-0.2250217,24.24667,0,0,0|
SpineBase:-6.855875,-2.916388,23.74329,0,0,0|SpineMid:-6.593657,-0.0349092,23.50871,0,0,0|Neck:-6.30825,2.800819,23.14486,0,0,0|Head:-5.878015,4.08485,23.12687,0,0,0|ShoulderLeft:-7.61914,1.729937,22.36643,0,0,0|ElbowLeft:-8.905913,0.8062969,21.25446,0,0,0|WristLeft:-8.713993,0.7452331,19.13557,0,0,0|HandLeft:-8.47014,1.061397,18.49692,0,0,0|ShoulderRight:-5.070063,1.756881,23.58308,0,0,0|ElbowRight:-5.074091,-0.1600618,25.08154,0,0,0|WristRight:-4.201076,-0.01124172,24.59328,0,0,0|HandRight:-3.594713,0.08901175,24.37097,0,0,0|HipLeft:-7.413245,-2.829847,23.08128,0,0,0|KneeLeft:-7.153395,-6.287214,22.67942,0,0,0|AnkleLeft:-7.56562,-9.435719,23.34572,0,0,0|FootLeft:-7.045249,-9.766387,22.15206,0,0,0|HipRight:-6.112928,-2.916358,23.75185,0,0,0|KneeRight:-6.119334,-6.03547,22.96644,0,0,0|AnkleRight:-6.525077,-9.290449,23.44545,0,0,0|FootRight:-6.017414,-9.62188,22.24766,0,0,0|SpineShoulder:-6.388721,2.100843,23.2614,0,0,0|HandTipLeft:-8.155545,1.378899,17.96617,0,0,0|ThumbLeft:-8.130177,1.216795,18.54083,0,0,0|HandTipRight:-3.184547,0.3467626,24.18567,0,0,0|ThumbRight:-3.415926,-0.2250217,24.24667,0,0,0|
SpineBase:-6.855875,-2.916388,23.74329,0,0,0|SpineMid:-6.593657,-0.0349092,23.50871,0,0,0|Neck:-6.30825,2.800819,23.14486,0,0,0|Head:-5.878015,4.08485,23.12687,0,0,0|ShoulderLeft:-7.61914,1.729937,22.36643,0,0,0|ElbowLeft:-8.905913,0.8062969,21.25446,0,0,0|WristLeft:-8.713993,0.7452331,19.13557,0,0,0|HandLeft:-8.47014,1.061397,18.49692,0,0,0|ShoulderRight:-5.070063,1.756881,23.58308,0,0,0|ElbowRight:-5.074091,-0.1600618,25.08154,0,0,0|WristRight:-4.201076,-0.01124172,24.59328,0,0,0|HandRight:-3.594713,0.08901175,24.37097,0,0,0|HipLeft:-7.413245,-2.829847,23.08128,0,0,0|KneeLeft:-7.153395,-6.287214,22.67942,0,0,0|AnkleLeft:-7.56562,-9.435719,23.34572,0,0,0|FootLeft:-7.045249,-9.766387,22.15206,0,0,0|HipRight:-6.112928,-2.916358,23.75185,0,0,0|KneeRight:-6.119334,-6.03547,22.96644,0,0,0|AnkleRight:-6.525077,-9.290449,23.44545,0,0,0|FootRight:-6.017414,-9.62188,22.24766,0,0,0|SpineShoulder:-6.388721,2.100843,23.2614,0,0,0|HandTipLeft:-8.155545,1.378899,17.96617,0,0,0|ThumbLeft:-8.130177,1.216795,18.54083,0,0,0|HandTipRight:-3.184547,0.3467626,24.18567,0,0,0|ThumbRight:-3.415926,-0.2250217,24.24667,0,0,0|
SpineBase:-6.855875,-2.916388,23.74329,0,0,0|SpineMid:-6.593657,-0.0349092,23.50871,0,0,0|Neck:-6.30825,2.800819,23.14486,0,0,0|Head:-5.878015,4.08485,23.12687,0,0,0|ShoulderLeft:-7.61914,1.729937,22.36643,0,0,0|ElbowLeft:-8.905913,0.8062969,21.25446,0,0,0|WristLeft:-8.713993,0.7452331,19.13557,0,0,0|HandLeft:-8.47014,1.061397,18.49692,0,0,0|ShoulderRight:-5.070063,1.756881,23.58308,0,0,0|ElbowRight:-5.074091,-0.1600618,25.08154,0,0,0|WristRight:-4.201076,-0.01124172,24.59328,0,0,0|HandRight:-3.594713,0.08901175,24.37097,0,0,0|HipLeft:-7.413245,-2.829847,23.08128,0,0,0|KneeLeft:-7.153395,-6.287214,22.67942,0,0,0|AnkleLeft:-7.56562,-9.435719,23.34572,0,0,0|FootLeft:-7.045249,-9.766387,22.15206,0,0,0|HipRight:-6.112928,-2.916358,23.75185,0,0,0|KneeRight:-6.119334,-6.03547,22.96644,0,0,0|AnkleRight:-6.525077,-9.290449,23.44545,0,0,0|FootRight:-6.017414,-9.62188,22.24766,0,0,0|SpineShoulder:-6.388721,2.100843,23.2614,0,0,0|HandTipLeft:-8.155545,1.378899,17.96617,0,0,0|ThumbLeft:-8.130177,1.216795,18.54083,0,0,0|HandTipRight:-3.184547,0.3467626,24.18567,0,0,0|ThumbRight:-3.415926,-0.2250217,24.24667,0,0,0|
SpineBase:-6.765849,-2.948887,23.7479,0,0,0|SpineMid:-6.54422,-0.05657943,23.52861,0,0,0|Neck:-6.277356,2.774076,23.18264,0,0,0|Head:-5.823299,3.997446,23.24066,0,0,0|ShoulderLeft:-7.520235,1.682062,22.31505,0,0,0|ElbowLeft:-8.848342,0.8252014,21.19863,0,0,0|WristLeft:-8.712901,0.7227682,19.12241,0,0,0|HandLeft:-9.018641,-0.3087476,18.57943,0,0,0|ShoulderRight:-5.01318,1.74864,23.61561,0,0,0|ElbowRight:-5.090796,-0.362526,24.86518,0,0,0|WristRight:-3.356207,-0.2743233,24.01248,0,0,0|HandRight:-2.785412,-0.2454553,23.76566,0,0,0|HipLeft:-7.315836,-2.863345,23.05532,0,0,0|KneeLeft:-6.882871,-6.20603,22.21629,0,0,0|AnkleLeft:-7.743098,-9.363338,23.03016,0,0,0|FootLeft:-7.375608,-10.06941,23.03334,0,0,0|HipRight:-6.019647,-2.952496,23.78,0,0,0|KneeRight:-6.039158,-6.295166,23.13562,0,0,0|AnkleRight:-6.569239,-9.340935,23.50586,0,0,0|FootRight:-6.031422,-9.668367,22.32111,0,0,0|SpineShoulder:-6.35287,2.076335,23.29281,0,0,0|HandTipLeft:-8.981372,-0.4451258,17.80416,0,0,0|ThumbLeft:-8.970843,-0.3450924,17.69833,0,0,0|HandTipRight:-2.378055,0.01368569,23.57996,0,0,0|ThumbRight:-2.613295,-0.5563546,23.6405,0,0,0|
SpineBase:-6.765849,-2.948887,23.7479,0,0,0|SpineMid:-6.54422,-0.05657943,23.52861,0,0,0|Neck:-6.277356,2.774076,23.18264,0,0,0|Head:-5.823299,3.997446,23.24066,0,0,0|ShoulderLeft:-7.520235,1.682062,22.31505,0,0,0|ElbowLeft:-8.848342,0.8252014,21.19863,0,0,0|WristLeft:-8.712901,0.7227682,19.12241,0,0,0|HandLeft:-9.018641,-0.3087476,18.57943,0,0,0|ShoulderRight:-5.01318,1.74864,23.61561,0,0,0|ElbowRight:-5.090796,-0.362526,24.86518,0,0,0|WristRight:-3.356207,-0.2743233,24.01248,0,0,0|HandRight:-2.785412,-0.2454553,23.76566,0,0,0|HipLeft:-7.315836,-2.863345,23.05532,0,0,0|KneeLeft:-6.882871,-6.20603,22.21629,0,0,0|AnkleLeft:-7.743098,-9.363338,23.03016,0,0,0|FootLeft:-7.375608,-10.06941,23.03334,0,0,0|HipRight:-6.019647,-2.952496,23.78,0,0,0|KneeRight:-6.039158,-6.295166,23.13562,0,0,0|AnkleRight:-6.569239,-9.340935,23.50586,0,0,0|FootRight:-6.031422,-9.668367,22.32111,0,0,0|SpineShoulder:-6.35287,2.076335,23.29281,0,0,0|HandTipLeft:-8.981372,-0.4451258,17.80416,0,0,0|ThumbLeft:-8.970843,-0.3450924,17.69833,0,0,0|HandTipRight:-2.378055,0.01368569,23.57996,0,0,0|ThumbRight:-2.613295,-0.5563546,23.6405,0,0,0|
SpineBase:-6.765849,-2.948887,23.7479,0,0,0|SpineMid:-6.54422,-0.05657943,23.52861,0,0,0|Neck:-6.277356,2.774076,23.18264,0,0,0|Head:-5.823299,3.997446,23.24066,0,0,0|ShoulderLeft:-7.520235,1.682062,22.31505,0,0,0|ElbowLeft:-8.848342,0.8252014,21.19863,0,0,0|WristLeft:-8.712901,0.7227682,19.12241,0,0,0|HandLeft:-9.018641,-0.3087476,18.57943,0,0,0|ShoulderRight:-5.01318,1.74864,23.61561,0,0,0|ElbowRight:-5.090796,-0.362526,24.86518,0,0,0|WristRight:-3.356207,-0.2743233,24.01248,0,0,0|HandRight:-2.785412,-0.2454553,23.76566,0,0,0|HipLeft:-7.315836,-2.863345,23.05532,0,0,0|KneeLeft:-6.882871,-6.20603,22.21629,0,0,0|AnkleLeft:-7.743098,-9.363338,23.03016,0,0,0|FootLeft:-7.375608,-10.06941,23.03334,0,0,0|HipRight:-6.019647,-2.952496,23.78,0,0,0|KneeRight:-6.039158,-6.295166,23.13562,0,0,0|AnkleRight:-6.569239,-9.340935,23.50586,0,0,0|FootRight:-6.031422,-9.668367,22.32111,0,0,0|SpineShoulder:-6.35287,2.076335,23.29281,0,0,0|HandTipLeft:-8.981372,-0.4451258,17.80416,0,0,0|ThumbLeft:-8.970843,-0.3450924,17.69833,0,0,0|HandTipRight:-2.378055,0.01368569,23.57996,0,0,0|ThumbRight:-2.613295,-0.5563546,23.6405,0,0,0|
SpineBase:-6.765849,-2.948887,23.7479,0,0,0|SpineMid:-6.54422,-0.05657943,23.52861,0,0,0|Neck:-6.277356,2.774076,23.18264,0,0,0|Head:-5.823299,3.997446,23.24066,0,0,0|ShoulderLeft:-7.520235,1.682062,22.31505,0,0,0|ElbowLeft:-8.848342,0.8252014,21.19863,0,0,0|WristLeft:-8.712901,0.7227682,19.12241,0,0,0|HandLeft:-9.018641,-0.3087476,18.57943,0,0,0|ShoulderRight:-5.01318,1.74864,23.61561,0,0,0|ElbowRight:-5.090796,-0.362526,24.86518,0,0,0|WristRight:-3.356207,-0.2743233,24.01248,0,0,0|HandRight:-2.785412,-0.2454553,23.76566,0,0,0|HipLeft:-7.315836,-2.863345,23.05532,0,0,0|KneeLeft:-6.882871,-6.20603,22.21629,0,0,0|AnkleLeft:-7.743098,-9.363338,23.03016,0,0,0|FootLeft:-7.375608,-10.06941,23.03334,0,0,0|HipRight:-6.019647,-2.952496,23.78,0,0,0|KneeRight:-6.039158,-6.295166,23.13562,0,0,0|AnkleRight:-6.569239,-9.340935,23.50586,0,0,0|FootRight:-6.031422,-9.668367,22.32111,0,0,0|SpineShoulder:-6.35287,2.076335,23.29281,0,0,0|HandTipLeft:-8.981372,-0.4451258,17.80416,0,0,0|ThumbLeft:-8.970843,-0.3450924,17.69833,0,0,0|HandTipRight:-2.378055,0.01368569,23.57996,0,0,0|ThumbRight:-2.613295,-0.5563546,23.6405,0,0,0|
SpineBase:-6.765849,-2.948887,23.7479,0,0,0|SpineMid:-6.54422,-0.05657943,23.52861,0,0,0|Neck:-6.277356,2.774076,23.18264,0,0,0|Head:-5.823299,3.997446,23.24066,0,0,0|ShoulderLeft:-7.520235,1.682062,22.31505,0,0,0|ElbowLeft:-8.848342,0.8252014,21.19863,0,0,0|WristLeft:-8.712901,0.7227682,19.12241,0,0,0|HandLeft:-9.018641,-0.3087476,18.57943,0,0,0|ShoulderRight:-5.01318,1.74864,23.61561,0,0,0|ElbowRight:-5.090796,-0.362526,24.86518,0,0,0|WristRight:-3.356207,-0.2743233,24.01248,0,0,0|HandRight:-2.785412,-0.2454553,23.76566,0,0,0|HipLeft:-7.315836,-2.863345,23.05532,0,0,0|KneeLeft:-6.882871,-6.20603,22.21629,0,0,0|AnkleLeft:-7.743098,-9.363338,23.03016,0,0,0|FootLeft:-7.375608,-10.06941,23.03334,0,0,0|HipRight:-6.019647,-2.952496,23.78,0,0,0|KneeRight:-6.039158,-6.295166,23.13562,0,0,0|AnkleRight:-6.569239,-9.340935,23.50586,0,0,0|FootRight:-6.031422,-9.668367,22.32111,0,0,0|SpineShoulder:-6.35287,2.076335,23.29281,0,0,0|HandTipLeft:-8.981372,-0.4451258,17.80416,0,0,0|ThumbLeft:-8.970843,-0.3450924,17.69833,0,0,0|HandTipRight:-2.378055,0.01368569,23.57996,0,0,0|ThumbRight:-2.613295,-0.5563546,23.6405,0,0,0|
