SpineBase:-5.191155,-3.497181,24.86474,0,0,0|SpineMid:-5.6145,-0.5700053,25.47195,0,0,0|Neck:-6.000458,2.225456,25.90307,0,0,0|Head:-5.465246,3.538002,25.69328,0,0,0|ShoulderLeft:-6.427669,1.426952,24.56529,0,0,0|ElbowLeft:-6.354913,0.3617737,22.38191,0,0,0|WristLeft:-4.487772,-0.6452508,22.32536,0,0,0|HandLeft:-4.086548,-0.9725144,22.66088,0,0,0|ShoulderRight:-4.339924,0.1388128,25.95489,0,0,0|ElbowRight:-2.331783,-0.1751022,25.17159,0,0,0|WristRight:-4.07404,0.6781129,24.29856,0,0,0|HandRight:-4.555398,1.107025,23.75609,0,0,0|HipLeft:-5.665262,-3.278661,24.14951,0,0,0|KneeLeft:-5.401865,-6.503532,23.58187,0,0,0|AnkleLeft:-5.613442,-9.566725,24.51086,0,0,0|FootLeft:-4.821006,-9.818328,23.41713,0,0,0|HipRight:-4.555214,-3.631285,24.8924,0,0,0|KneeRight:-3.411785,-6.255577,24.14696,0,0,0|AnkleRight:-3.312403,-9.323682,24.44201,0,0,0|FootRight:-2.548346,-9.57597,23.34286,0,0,0|SpineShoulder:-5.91058,1.543601,25.82354,0,0,0|HandTipLeft:-3.681005,-1.314222,22.70409,0,0,0|ThumbLeft:-4.028966,-1.29926,22.82572,0,0,0|HandTipRight:-5.094128,1.334963,23.4495,0,0,0|ThumbRight:-4.669063,1.190885,23.222,0,0,0|
SpineBase:-5.148582,-3.479639,24.86031,0,0,0|SpineMid:-5.570397,-0.6205305,25.44381,0,0,0|Neck:-5.946846,2.126509,25.88205,0,0,0|Head:-5.444072,3.472225,25.68534,0,0,0|ShoulderLeft:-6.516876,1.468941,24.60331,0,0,0|ElbowLeft:-6.376604,0.3814331,22.37661,0,0,0|WristLeft:-4.536239,-0.4404611,22.92878,0,0,0|HandLeft:-4.236326,-0.577051,23.47157,0,0,0|ShoulderRight:-4.325248,0.187911,25.98857,0,0,0|ElbowRight:-2.411732,-0.2094785,24.99887,0,0,0|WristRight:-3.700509,1.072893,23.38183,0,0,0|HandRight:-4.063422,1.360639,22.94959,0,0,0|HipLeft:-5.633076,-3.271574,24.05965,0,0,0|KneeLeft:-5.293704,-6.514647,23.53257,0,0,0|AnkleLeft:-5.547555,-9.575699,24.47943,0,0,0|FootLeft:-4.776763,-9.826192,23.36665,0,0,0|HipRight:-4.500547,-3.598175,24.95041,0,0,0|KneeRight:-3.298477,-6.310129,24.11546,0,0,0|AnkleRight:-3.270189,-9.334873,24.38092,0,0,0|FootRight:-2.527496,-9.585932,23.26287,0,0,0|SpineShoulder:-5.858405,1.451616,25.7958,0,0,0|HandTipLeft:-3.902175,-0.8173008,23.64014,0,0,0|ThumbLeft:-4.258061,-0.8950526,23.75714,0,0,0|HandTipRight:-4.471431,1.569174,22.77715,0,0,0|ThumbRight:-3.854864,1.379502,22.60143,0,0,0|
SpineBase:-5.148582,-3.479639,24.86031,0,0,0|SpineMid:-5.570397,-0.6205305,25.44381,0,0,0|Neck:-5.946846,2.126509,25.88205,0,0,0|Head:-5.444072,3.472225,25.68534,0,0,0|ShoulderLeft:-6.516876,1.468941,24.60331,0,0,0|ElbowLeft:-6.376604,0.3814331,22.37661,0,0,0|WristLeft:-4.536239,-0.4404611,22.92878,0,0,0|HandLeft:-4.236326,-0.577051,23.47157,0,0,0|ShoulderRight:-4.325248,0.187911,25.98857,0,0,0|ElbowRight:-2.411732,-0.2094785,24.99887,0,0,0|WristRight:-3.700509,1.072893,23.38183,0,0,0|HandRight:-4.063422,1.360639,22.94959,0,0,0|HipLeft:-5.633076,-3.271574,24.05965,0,0,0|KneeLeft:-5.293704,-6.514647,23.53257,0,0,0|AnkleLeft:-5.547555,-9.575699,24.47943,0,0,0|FootLeft:-4.776763,-9.826192,23.36665,0,0,0|HipRight:-4.500547,-3.598175,24.95041,0,0,0|KneeRight:-3.298477,-6.310129,24.11546,0,0,0|AnkleRight:-3.270189,-9.334873,24.38092,0,0,0|FootRight:-2.527496,-9.585932,23.26287,0,0,0|SpineShoulder:-5.858405,1.451616,25.7958,0,0,0|HandTipLeft:-3.902175,-0.8173008,23.64014,0,0,0|ThumbLeft:-4.258061,-0.8950526,23.75714,0,0,0|HandTipRight:-4.471431,1.569174,22.77715,0,0,0|ThumbRight:-3.854864,1.379502,22.60143,0,0,0|
SpineBase:-5.124574,-3.46699,24.87226,0,0,0|SpineMid:-5.549849,-0.620919,25.44295,0,0,0|Neck:-5.927882,2.123546,25.87468,0,0,0|Head:-5.432622,3.473841,25.68383,0,0,0|ShoulderLeft:-6.531086,1.487595,24.5988,0,0,0|ElbowLeft:-6.366395,0.3914852,22.39368,0,0,0|WristLeft:-4.498424,-0.04935918,23.18558,0,0,0|HandLeft:-4.299457,-0.2034275,23.76082,0,0,0|ShoulderRight:-4.309901,0.2360534,26.00291,0,0,0|ElbowRight:-2.49998,-0.1524195,24.81002,0,0,0|WristRight:-3.462109,1.172529,23.40863,0,0,0|HandRight:-3.63256,1.266673,22.59775,0,0,0|HipLeft:-5.620312,-3.264218,24.06058,0,0,0|KneeLeft:-5.259824,-6.512268,23.53319,0,0,0|AnkleLeft:-5.530602,-9.56888,24.47417,0,0,0|FootLeft:-4.764905,-9.819181,23.35719,0,0,0|HipRight:-4.466728,-3.575499,24.99242,0,0,0|KneeRight:-3.298094,-6.304511,24.14046,0,0,0|AnkleRight:-3.277092,-9.328327,24.38646,0,0,0|FootRight:-2.539222,-9.579257,23.26423,0,0,0|SpineShoulder:-5.839169,1.448725,25.78986,0,0,0|HandTipLeft:-4.022383,-0.4095548,24.04515,0,0,0|ThumbLeft:-3.968639,-0.5147069,23.7975,0,0,0|HandTipRight:-3.985449,1.443397,22.41594,0,0,0|ThumbRight:-3.403968,1.226067,22.326,0,0,0|
SpineBase:-5.124574,-3.46699,24.87226,0,0,0|SpineMid:-5.549849,-0.620919,25.44295,0,0,0|Neck:-5.927882,2.123546,25.87468,0,0,0|Head:-5.432622,3.473841,25.68383,0,0,0|ShoulderLeft:-6.531086,1.487595,24.5988,0,0,0|ElbowLeft:-6.366395,0.3914852,22.39368,0,0,0|WristLeft:-4.498424,-0.04935918,23.18558,0,0,0|HandLeft:-4.299457,-0.2034275,23.76082,0,0,0|ShoulderRight:-4.309901,0.2360534,26.00291,0,0,0|ElbowRight:-2.49998,-0.1524195,24.81002,0,0,0|WristRight:-3.462109,1.172529,23.40863,0,0,0|HandRight:-3.63256,1.266673,22.59775,0,0,0|HipLeft:-5.620312,-3.264218,24.06058,0,0,0|KneeLeft:-5.259824,-6.512268,23.53319,0,0,0|AnkleLeft:-5.530602,-9.56888,24.47417,0,0,0|FootLeft:-4.764905,-9.819181,23.35719,0,0,0|HipRight:-4.466728,-3.575499,24.99242,0,0,0|KneeRight:-3.298094,-6.304511,24.14046,0,0,0|AnkleRight:-3.277092,-9.328327,24.38646,0,0,0|FootRight:-2.539222,-9.579257,23.26423,0,0,0|SpineShoulder:-5.839169,1.448725,25.78986,0,0,0|HandTipLeft:-4.022383,-0.4095548,24.04515,0,0,0|ThumbLeft:-3.968639,-0.5147069,23.7975,0,0,0|HandTipRight:-3.985449,1.443397,22.41594,0,0,0|ThumbRight:-3.403968,1.226067,22.326,0,0,0|
SpineBase:-5.124574,-3.46699,24.87226,0,0,0|SpineMid:-5.549849,-0.620919,25.44295,0,0,0|Neck:-5.927882,2.123546,25.87468,0,0,0|Head:-5.432622,3.473841,25.68383,0,0,0|ShoulderLeft:-6.531086,1.487595,24.5988,0,0,0|ElbowLeft:-6.366395,0.3914852,22.39368,0,0,0|WristLeft:-4.498424,-0.04935918,23.18558,0,0,0|HandLeft:-4.299457,-0.2034275,23.76082,0,0,0|ShoulderRight:-4.309901,0.2360534,26.00291,0,0,0|ElbowRight:-2.49998,-0.1524195,24.81002,0,0,0|WristRight:-3.462109,1.172529,23.40863,0,0,0|HandRight:-3.63256,1.266673,22.59775,0,0,0|HipLeft:-5.620312,-3.264218,24.06058,0,0,0|KneeLeft:-5.259824,-6.512268,23.53319,0,0,0|AnkleLeft:-5.530602,-9.56888,24.47417,0,0,0|FootLeft:-4.764905,-9.819181,23.35719,0,0,0|HipRight:-4.466728,-3.575499,24.99242,0,0,0|KneeRight:-3.298094,-6.304511,24.14046,0,0,0|AnkleRight:-3.277092,-9.328327,24.38646,0,0,0|FootRight:-2.539222,-9.579257,23.26423,0,0,0|SpineShoulder:-5.839169,1.448725,25.78986,0,0,0|HandTipLeft:-4.022383,-0.4095548,24.04515,0,0,0|ThumbLeft:-3.968639,-0.5147069,23.7975,0,0,0|HandTipRight:-3.985449,1.443397,22.41594,0,0,0|ThumbRight:-3.403968,1.226067,22.326,0,0,0|
SpineBase:-5.047392,-3.320477,24.98149,0,0,0|SpineMid:-5.46132,-0.4837946,25.4567,0,0,0|Neck:-5.806019,2.306916,25.79021,0,0,0|Head:-5.3095,3.678535,25.6072,0,0,0|ShoulderLeft:-6.539899,1.574548,24.5532,0,0,0|ElbowLeft:-6.256971,0.6725245,22.44845,0,0,0|WristLeft:-4.385472,0.4536866,23.30926,0,0,0|HandLeft:-4.356184,0.6554576,23.96637,0,0,0|ShoulderRight:-4.293218,0.844478,26.11944,0,0,0|ElbowRight:-2.789491,-0.2550166,24.95018,0,0,0|WristRight:-2.96031,1.109008,23.27121,0,0,0|HandRight:-2.766838,0.6233653,22.10569,0,0,0|HipLeft:-5.571971,-3.163157,24.12987,0,0,0|KneeLeft:-5.257688,-6.405267,23.59812,0,0,0|AnkleLeft:-5.537425,-9.585766,24.49353,0,0,0|FootLeft:-4.797581,-9.836079,23.35501,0,0,0|HipRight:-4.378418,-3.387151,25.1528,0,0,0|KneeRight:-3.388821,-6.170084,24.36708,0,0,0|AnkleRight:-3.321749,-9.292291,24.45053,0,0,0|FootRight:-2.60926,-9.54404,23.30652,0,0,0|SpineShoulder:-5.728164,1.616768,25.73359,0,0,0|HandTipLeft:-4.116785,0.5997298,24.29133,0,0,0|ThumbLeft:-4.115188,0.5477241,24.185,0,0,0|HandTipRight:-2.961197,0.59354,21.81363,0,0,0|ThumbRight:-2.524196,0.6225231,21.98867,0,0,0|
SpineBase:-5.047392,-3.320477,24.98149,0,0,0|SpineMid:-5.46132,-0.4837946,25.4567,0,0,0|Neck:-5.806019,2.306916,25.79021,0,0,0|Head:-5.3095,3.678535,25.6072,0,0,0|ShoulderLeft:-6.539899,1.574548,24.5532,0,0,0|ElbowLeft:-6.256971,0.6725245,22.44845,0,0,0|WristLeft:-4.385472,0.4536866,23.30926,0,0,0|HandLeft:-4.356184,0.6554576,23.96637,0,0,0|ShoulderRight:-4.293218,0.844478,26.11944,0,0,0|ElbowRight:-2.789491,-0.2550166,24.95018,0,0,0|WristRight:-2.96031,1.109008,23.27121,0,0,0|HandRight:-2.766838,0.6233653,22.10569,0,0,0|HipLeft:-5.571971,-3.163157,24.12987,0,0,0|KneeLeft:-5.257688,-6.405267,23.59812,0,0,0|AnkleLeft:-5.537425,-9.585766,24.49353,0,0,0|FootLeft:-4.797581,-9.836079,23.35501,0,0,0|HipRight:-4.378418,-3.387151,25.1528,0,0,0|KneeRight:-3.388821,-6.170084,24.36708,0,0,0|AnkleRight:-3.321749,-9.292291,24.45053,0,0,0|FootRight:-2.60926,-9.54404,23.30652,0,0,0|SpineShoulder:-5.728164,1.616768,25.73359,0,0,0|HandTipLeft:-4.116785,0.5997298,24.29133,0,0,0|ThumbLeft:-4.115188,0.5477241,24.185,0,0,0|HandTipRight:-2.961197,0.59354,21.81363,0,0,0|ThumbRight:-2.524196,0.6225231,21.98867,0,0,0|
SpineBase:-5.047063,-3.227921,25.03091,0,0,0|SpineMid:-5.417745,-0.3842878,25.44545,0,0,0|Neck:-5.719514,2.421829,25.71046,0,0,0|Head:-5.276559,3.810017,25.56529,0,0,0|ShoulderLeft:-6.417398,1.899386,24.21138,0,0,0|ElbowLeft:-6.159653,0.7155913,22.33862,0,0,0|WristLeft:-4.349112,0.7758069,23.3244,0,0,0|HandLeft:-4.272315,1.04765,24.04362,0,0,0|ShoulderRight:-4.130186,1.156799,25.93987,0,0,0|ElbowRight:-2.858463,0.1188687,24.45052,0,0,0|WristRight:-2.668327,0.3623396,22.28402,0,0,0|HandRight:-2.524095,0.1358072,22.00958,0,0,0|HipLeft:-5.570334,-3.075337,24.2178,0,0,0|KneeLeft:-5.300855,-6.361437,23.6619,0,0,0|AnkleLeft:-5.542984,-9.591641,24.50215,0,0,0|FootLeft:-4.781015,-9.845383,23.38362,0,0,0|HipRight:-4.38271,-3.284453,25.17063,0,0,0|KneeRight:-3.481116,-6.245589,24.47507,0,0,0|AnkleRight:-3.389151,-9.284853,24.51184,0,0,0|FootRight:-2.906907,-10.01339,24.11917,0,0,0|SpineShoulder:-5.652106,1.729007,25.67087,0,0,0|HandTipLeft:-4.081374,1.05271,24.44298,0,0,0|ThumbLeft:-4.139328,0.9067785,24.39333,0,0,0|HandTipRight:-2.548039,0.1022357,21.77094,0,0,0|ThumbRight:-2.219769,0.2441145,22.01625,0,0,0|
SpineBase:-5.047063,-3.227921,25.03091,0,0,0|SpineMid:-5.417745,-0.3842878,25.44545,0,0,0|Neck:-5.719514,2.421829,25.71046,0,0,0|Head:-5.276559,3.810017,25.56529,0,0,0|ShoulderLeft:-6.417398,1.899386,24.21138,0,0,0|ElbowLeft:-6.159653,0.7155913,22.33862,0,0,0|WristLeft:-4.349112,0.7758069,23.3244,0,0,0|HandLeft:-4.272315,1.04765,24.04362,0,0,0|ShoulderRight:-4.130186,1.156799,25.93987,0,0,0|ElbowRight:-2.858463,0.1188687,24.45052,0,0,0|WristRight:-2.668327,0.3623396,22.28402,0,0,0|HandRight:-2.524095,0.1358072,22.00958,0,0,0|HipLeft:-5.570334,-3.075337,24.2178,0,0,0|KneeLeft:-5.300855,-6.361437,23.6619,0,0,0|AnkleLeft:-5.542984,-9.591641,24.50215,0,0,0|FootLeft:-4.781015,-9.845383,23.38362,0,0,0|HipRight:-4.38271,-3.284453,25.17063,0,0,0|KneeRight:-3.481116,-6.245589,24.47507,0,0,0|AnkleRight:-3.389151,-9.284853,24.51184,0,0,0|FootRight:-2.906907,-10.01339,24.11917,0,0,0|SpineShoulder:-5.652106,1.729007,25.67087,0,0,0|HandTipLeft:-4.081374,1.05271,24.44298,0,0,0|ThumbLeft:-4.139328,0.9067785,24.39333,0,0,0|HandTipRight:-2.548039,0.1022357,21.77094,0,0,0|ThumbRight:-2.219769,0.2441145,22.01625,0,0,0|
SpineBase:-5.068878,-3.165587,25.08123,0,0,0|SpineMid:-5.387152,-0.2887041,25.43676,0,0,0|Neck:-5.622061,2.574736,25.62334,0,0,0|Head:-5.248432,3.970075,25.509,0,0,0|ShoulderLeft:-6.419648,1.93098,24.18774,0,0,0|ElbowLeft:-6.019835,0.8497019,22.27414,0,0,0|WristLeft:-4.23796,0.9913031,23.29599,0,0,0|HandLeft:-4.180511,1.397725,23.91686,0,0,0|ShoulderRight:-4.064034,1.166351,25.89078,0,0,0|ElbowRight:-2.690947,0.05354366,24.56751,0,0,0|WristRight:-2.22543,0.2551317,22.43893,0,0,0|HandRight:-2.455976,-0.2399775,22.12357,0,0,0|HipLeft:-5.605339,-3.012266,24.31633,0,0,0|KneeLeft:-5.37167,-6.289732,23.76032,0,0,0|AnkleLeft:-5.558655,-9.594417,24.52151,0,0,0|FootLeft:-4.820209,-9.852963,23.38548,0,0,0|HipRight:-4.396853,-3.225454,25.18497,0,0,0|KneeRight:-3.589967,-6.274185,24.57335,0,0,0|AnkleRight:-3.437864,-9.257277,24.56792,0,0,0|FootRight:-2.882147,-9.941325,24.13625,0,0,0|SpineShoulder:-5.573037,1.866739,25.6051,0,0,0|HandTipLeft:-3.971283,1.440403,24.24627,0,0,0|ThumbLeft:-3.993162,1.308615,24.245,0,0,0|HandTipRight:-2.483764,-0.3733132,21.84311,0,0,0|ThumbRight:-2.13424,-0.1455359,21.90667,0,0,0|
