SpineBase:6.185837,-1.405172,25.49864,0,0,0|SpineMid:6.0165,1.552524,25.63705,0,0,0|Neck:5.822181,4.426625,25.65211,0,0,0|Head:5.521405,5.938458,25.38957,0,0,0|ShoulderLeft:4.303239,3.483463,26.31622,0,0,0|ElbowLeft:3.948079,1.455235,26.48213,0,0,0|WristLeft:5.294214,1.830875,24.00098,0,0,0|HandLeft:5.819364,1.843452,23.26439,0,0,0|ShoulderRight:7.413491,3.518927,25.13581,0,0,0|ElbowRight:8.291508,1.651822,24.81286,0,0,0|WristRight:6.569409,1.52369,23.56319,0,0,0|HandRight:6.050277,1.708584,23.30087,0,0,0|HipLeft:5.408711,-1.414538,25.34264,0,0,0|KneeLeft:5.738385,-5.673031,25.23087,0,0,0|AnkleLeft:5.784904,-9.216499,25.35582,0,0,0|FootLeft:5.333766,-9.554098,23.96776,0,0,0|HipRight:6.791358,-1.356614,24.94817,0,0,0|KneeRight:7.357237,-5.844595,24.81681,0,0,0|AnkleRight:7.885894,-9.231476,24.87161,0,0,0|FootRight:8.078441,-9.980305,24.07354,0,0,0|SpineShoulder:5.875425,3.719589,25.67067,0,0,0|HandTipLeft:5.98264,1.747448,23.06675,0,0,0|ThumbLeft:5.617349,1.620979,22.924,0,0,0|HandTipRight:5.629841,1.75467,23.05466,0,0,0|ThumbRight:5.861156,2.11106,23.181,0,0,0|
SpineBase:6.130198,-1.424142,25.4969,0,0,0|SpineMid:5.957441,1.533175,25.64039,0,0,0|Neck:5.760103,4.406791,25.66023,0,0,0|Head:5.460783,5.923368,25.39329,0,0,0|ShoulderLeft:4.242763,3.471473,26.32137,0,0,0|ElbowLeft:3.803863,1.43037,26.42431,0,0,0|WristLeft:5.048128,1.885369,23.90167,0,0,0|HandLeft:5.65678,1.774105,23.19131,0,0,0|ShoulderRight:7.360248,3.515206,25.1436,0,0,0|ElbowRight:8.255299,1.651893,24.82533,0,0,0|WristRight:6.606746,1.75459,23.64293,0,0,0|HandRight:5.959195,1.63124,23.21381,0,0,0|HipLeft:5.350093,-1.431923,25.34637,0,0,0|KneeLeft:5.653811,-5.682901,25.14718,0,0,0|AnkleLeft:5.767324,-9.224983,25.32936,0,0,0|FootLeft:5.317547,-9.561843,23.94069,0,0,0|HipRight:6.73969,-1.376864,24.94087,0,0,0|KneeRight:7.272513,-5.729012,24.71822,0,0,0|AnkleRight:7.877961,-9.242997,24.86826,0,0,0|FootRight:8.066302,-9.992044,24.06827,0,0,0|SpineShoulder:5.814027,3.699872,25.67763,0,0,0|HandTipLeft:5.861289,1.761554,22.99479,0,0,0|ThumbLeft:5.55384,1.561063,22.866,0,0,0|HandTipRight:5.561496,1.707654,23.03351,0,0,0|ThumbRight:5.759036,1.918748,23.00562,0,0,0|
SpineBase:6.130198,-1.424142,25.4969,0,0,0|SpineMid:5.957441,1.533175,25.64039,0,0,0|Neck:5.760103,4.406791,25.66023,0,0,0|Head:5.460783,5.923368,25.39329,0,0,0|ShoulderLeft:4.242763,3.471473,26.32137,0,0,0|ElbowLeft:3.803863,1.43037,26.42431,0,0,0|WristLeft:5.048128,1.885369,23.90167,0,0,0|HandLeft:5.65678,1.774105,23.19131,0,0,0|ShoulderRight:7.360248,3.515206,25.1436,0,0,0|ElbowRight:8.255299,1.651893,24.82533,0,0,0|WristRight:6.606746,1.75459,23.64293,0,0,0|HandRight:5.959195,1.63124,23.21381,0,0,0|HipLeft:5.350093,-1.431923,25.34637,0,0,0|KneeLeft:5.653811,-5.682901,25.14718,0,0,0|AnkleLeft:5.767324,-9.224983,25.32936,0,0,0|FootLeft:5.317547,-9.561843,23.94069,0,0,0|HipRight:6.73969,-1.376864,24.94087,0,0,0|KneeRight:7.272513,-5.729012,24.71822,0,0,0|AnkleRight:7.877961,-9.242997,24.86826,0,0,0|FootRight:8.066302,-9.992044,24.06827,0,0,0|SpineShoulder:5.814027,3.699872,25.67763,0,0,0|HandTipLeft:5.861289,1.761554,22.99479,0,0,0|ThumbLeft:5.55384,1.561063,22.866,0,0,0|HandTipRight:5.561496,1.707654,23.03351,0,0,0|ThumbRight:5.759036,1.918748,23.00562,0,0,0|
SpineBase:6.101245,-1.441258,25.49699,0,0,0|SpineMid:5.929723,1.520388,25.64122,0,0,0|Neck:5.733891,4.398036,25.66152,0,0,0|Head:5.435395,5.908043,25.39118,0,0,0|ShoulderLeft:4.208928,3.460449,26.32158,0,0,0|ElbowLeft:3.677644,1.304452,26.32558,0,0,0|WristLeft:4.983777,1.784512,23.84023,0,0,0|HandLeft:5.570025,1.752827,23.25158,0,0,0|ShoulderRight:7.342772,3.508103,25.15401,0,0,0|ElbowRight:8.232273,1.66107,24.84631,0,0,0|WristRight:5.627019,1.447143,23.74214,0,0,0|HandRight:5.906855,1.537268,23.2422,0,0,0|HipLeft:5.317392,-1.452035,25.34862,0,0,0|KneeLeft:5.616295,-5.69666,25.10391,0,0,0|AnkleLeft:5.742297,-9.2909,25.29718,0,0,0|FootLeft:5.29742,-9.626494,23.90699,0,0,0|HipRight:6.715169,-1.390777,24.93893,0,0,0|KneeRight:7.219641,-5.976511,24.63376,0,0,0|AnkleRight:7.870597,-9.251965,24.85331,0,0,0|FootRight:8.051907,-10.0112,24.06815,0,0,0|SpineShoulder:5.78741,3.690138,25.67883,0,0,0|HandTipLeft:5.797248,1.670274,22.96165,0,0,0|ThumbLeft:5.5814,1.476041,22.80125,0,0,0|HandTipRight:5.558623,1.580188,22.96207,0,0,0|ThumbRight:5.963776,1.629198,22.828,0,0,0|
SpineBase:6.101245,-1.441258,25.49699,0,0,0|SpineMid:5.929723,1.520388,25.64122,0,0,0|Neck:5.733891,4.398036,25.66152,0,0,0|Head:5.435395,5.908043,25.39118,0,0,0|ShoulderLeft:4.208928,3.460449,26.32158,0,0,0|ElbowLeft:3.677644,1.304452,26.32558,0,0,0|WristLeft:4.983777,1.784512,23.84023,0,0,0|HandLeft:5.570025,1.752827,23.25158,0,0,0|ShoulderRight:7.342772,3.508103,25.15401,0,0,0|ElbowRight:8.232273,1.66107,24.84631,0,0,0|WristRight:5.627019,1.447143,23.74214,0,0,0|HandRight:5.906855,1.537268,23.2422,0,0,0|HipLeft:5.317392,-1.452035,25.34862,0,0,0|KneeLeft:5.616295,-5.69666,25.10391,0,0,0|AnkleLeft:5.742297,-9.2909,25.29718,0,0,0|FootLeft:5.29742,-9.626494,23.90699,0,0,0|HipRight:6.715169,-1.390777,24.93893,0,0,0|KneeRight:7.219641,-5.976511,24.63376,0,0,0|AnkleRight:7.870597,-9.251965,24.85331,0,0,0|FootRight:8.051907,-10.0112,24.06815,0,0,0|SpineShoulder:5.78741,3.690138,25.67883,0,0,0|HandTipLeft:5.797248,1.670274,22.96165,0,0,0|ThumbLeft:5.5814,1.476041,22.80125,0,0,0|HandTipRight:5.558623,1.580188,22.96207,0,0,0|ThumbRight:5.963776,1.629198,22.828,0,0,0|
SpineBase:6.101245,-1.441258,25.49699,0,0,0|SpineMid:5.929723,1.520388,25.64122,0,0,0|Neck:5.733891,4.398036,25.66152,0,0,0|Head:5.435395,5.908043,25.39118,0,0,0|ShoulderLeft:4.208928,3.460449,26.32158,0,0,0|ElbowLeft:3.677644,1.304452,26.32558,0,0,0|WristLeft:4.983777,1.784512,23.84023,0,0,0|HandLeft:5.570025,1.752827,23.25158,0,0,0|ShoulderRight:7.342772,3.508103,25.15401,0,0,0|ElbowRight:8.232273,1.66107,24.84631,0,0,0|WristRight:5.627019,1.447143,23.74214,0,0,0|HandRight:5.906855,1.537268,23.2422,0,0,0|HipLeft:5.317392,-1.452035,25.34862,0,0,0|KneeLeft:5.616295,-5.69666,25.10391,0,0,0|AnkleLeft:5.742297,-9.2909,25.29718,0,0,0|FootLeft:5.29742,-9.626494,23.90699,0,0,0|HipRight:6.715169,-1.390777,24.93893,0,0,0|KneeRight:7.219641,-5.976511,24.63376,0,0,0|AnkleRight:7.870597,-9.251965,24.85331,0,0,0|FootRight:8.051907,-10.0112,24.06815,0,0,0|SpineShoulder:5.78741,3.690138,25.67883,0,0,0|HandTipLeft:5.797248,1.670274,22.96165,0,0,0|ThumbLeft:5.5814,1.476041,22.80125,0,0,0|HandTipRight:5.558623,1.580188,22.96207,0,0,0|ThumbRight:5.963776,1.629198,22.828,0,0,0|
SpineBase:6.048492,-1.474406,25.49266,0,0,0|SpineMid:5.875395,1.48436,25.65001,0,0,0|Neck:5.67577,4.358722,25.685,0,0,0|Head:5.391054,5.867336,25.40121,0,0,0|ShoulderLeft:4.12221,3.426018,26.30342,0,0,0|ElbowLeft:3.400713,1.196607,26.09778,0,0,0|WristLeft:4.703197,1.980464,23.69123,0,0,0|HandLeft:5.253263,2.367304,23.67375,0,0,0|ShoulderRight:7.28897,3.497218,25.18491,0,0,0|ElbowRight:8.20582,1.647083,24.87143,0,0,0|WristRight:6.555062,1.305461,23.50469,0,0,0|HandRight:5.973742,1.419929,23.24093,0,0,0|HipLeft:5.25364,-1.493262,25.33103,0,0,0|KneeLeft:5.549248,-5.716181,25.06355,0,0,0|AnkleLeft:5.686612,-9.339089,25.25191,0,0,0|FootLeft:5.259192,-9.671247,23.85499,0,0,0|HipRight:6.673193,-1.41628,24.94517,0,0,0|KneeRight:7.146124,-6.008553,24.42768,0,0,0|AnkleRight:7.847835,-9.294332,24.74786,0,0,0|FootRight:8.090837,-10.07792,24.06348,0,0,0|SpineShoulder:5.730382,3.651652,25.69846,0,0,0|HandTipLeft:5.782769,1.624246,22.92867,0,0,0|ThumbLeft:5.563725,1.587411,22.89647,0,0,0|HandTipRight:5.671079,1.464045,22.9467,0,0,0|ThumbRight:6.053205,1.367231,22.77217,0,0,0|
SpineBase:6.048492,-1.474406,25.49266,0,0,0|SpineMid:5.875395,1.48436,25.65001,0,0,0|Neck:5.67577,4.358722,25.685,0,0,0|Head:5.391054,5.867336,25.40121,0,0,0|ShoulderLeft:4.12221,3.426018,26.30342,0,0,0|ElbowLeft:3.400713,1.196607,26.09778,0,0,0|WristLeft:4.703197,1.980464,23.69123,0,0,0|HandLeft:5.253263,2.367304,23.67375,0,0,0|ShoulderRight:7.28897,3.497218,25.18491,0,0,0|ElbowRight:8.20582,1.647083,24.87143,0,0,0|WristRight:6.555062,1.305461,23.50469,0,0,0|HandRight:5.973742,1.419929,23.24093,0,0,0|HipLeft:5.25364,-1.493262,25.33103,0,0,0|KneeLeft:5.549248,-5.716181,25.06355,0,0,0|AnkleLeft:5.686612,-9.339089,25.25191,0,0,0|FootLeft:5.259192,-9.671247,23.85499,0,0,0|HipRight:6.673193,-1.41628,24.94517,0,0,0|KneeRight:7.146124,-6.008553,24.42768,0,0,0|AnkleRight:7.847835,-9.294332,24.74786,0,0,0|FootRight:8.090837,-10.07792,24.06348,0,0,0|SpineShoulder:5.730382,3.651652,25.69846,0,0,0|HandTipLeft:5.782769,1.624246,22.92867,0,0,0|ThumbLeft:5.563725,1.587411,22.89647,0,0,0|HandTipRight:5.671079,1.464045,22.9467,0,0,0|ThumbRight:6.053205,1.367231,22.77217,0,0,0|
SpineBase:6.02242,-1.485447,25.49004,0,0,0|SpineMid:5.838295,1.471547,25.65166,0,0,0|Neck:5.627588,4.344726,25.69149,0,0,0|Head:5.369559,5.854331,25.40421,0,0,0|ShoulderLeft:4.149212,3.427315,26.28591,0,0,0|ElbowLeft:3.249373,1.262393,25.80752,0,0,0|WristLeft:4.98246,2.500547,23.94737,0,0,0|HandLeft:5.424823,2.732816,23.9812,0,0,0|ShoulderRight:7.286686,3.497787,25.18488,0,0,0|ElbowRight:8.197515,1.64917,24.8799,0,0,0|WristRight:6.564198,1.3005,23.52686,0,0,0|HandRight:5.959154,1.375526,23.2325,0,0,0|HipLeft:5.223435,-1.503667,25.32214,0,0,0|KneeLeft:5.509881,-5.712443,25.04539,0,0,0|AnkleLeft:5.674059,-9.334839,25.24435,0,0,0|FootLeft:5.248906,-9.666765,23.84661,0,0,0|HipRight:6.651605,-1.427299,24.9482,0,0,0|KneeRight:7.079699,-5.933501,24.16087,0,0,0|AnkleRight:7.826946,-9.241062,24.59297,0,0,0|FootRight:8.118506,-10.02626,23.96655,0,0,0|SpineShoulder:5.684908,3.637883,25.70375,0,0,0|HandTipLeft:5.427301,2.893929,23.7571,0,0,0|ThumbLeft:5.845842,2.460649,24.11423,0,0,0|HandTipRight:5.659194,1.404379,22.91468,0,0,0|ThumbRight:6.078592,1.211869,22.74882,0,0,0|
SpineBase:6.02242,-1.485447,25.49004,0,0,0|SpineMid:5.838295,1.471547,25.65166,0,0,0|Neck:5.627588,4.344726,25.69149,0,0,0|Head:5.369559,5.854331,25.40421,0,0,0|ShoulderLeft:4.149212,3.427315,26.28591,0,0,0|ElbowLeft:3.249373,1.262393,25.80752,0,0,0|WristLeft:4.98246,2.500547,23.94737,0,0,0|HandLeft:5.424823,2.732816,23.9812,0,0,0|ShoulderRight:7.286686,3.497787,25.18488,0,0,0|ElbowRight:8.197515,1.64917,24.8799,0,0,0|WristRight:6.564198,1.3005,23.52686,0,0,0|HandRight:5.959154,1.375526,23.2325,0,0,0|HipLeft:5.223435,-1.503667,25.32214,0,0,0|KneeLeft:5.509881,-5.712443,25.04539,0,0,0|AnkleLeft:5.674059,-9.334839,25.24435,0,0,0|FootLeft:5.248906,-9.666765,23.84661,0,0,0|HipRight:6.651605,-1.427299,24.9482,0,0,0|KneeRight:7.079699,-5.933501,24.16087,0,0,0|AnkleRight:7.826946,-9.241062,24.59297,0,0,0|FootRight:8.118506,-10.02626,23.96655,0,0,0|SpineShoulder:5.684908,3.637883,25.70375,0,0,0|HandTipLeft:5.427301,2.893929,23.7571,0,0,0|ThumbLeft:5.845842,2.460649,24.11423,0,0,0|HandTipRight:5.659194,1.404379,22.91468,0,0,0|ThumbRight:6.078592,1.211869,22.74882,0,0,0|
SpineBase:6.004901,-1.491868,25.48882,0,0,0|SpineMid:5.811975,1.462838,25.65295,0,0,0|Neck:5.592815,4.333897,25.69532,0,0,0|Head:5.35813,5.848022,25.40914,0,0,0|ShoulderLeft:4.037988,3.405285,26.1749,0,0,0|ElbowLeft:3.201664,1.380017,25.5263,0,0,0|WristLeft:5.058422,2.678792,23.84562,0,0,0|HandLeft:5.407948,3.00924,23.87757,0,0,0|ShoulderRight:7.272169,3.498902,25.20403,0,0,0|ElbowRight:8.197411,1.651791,24.88474,0,0,0|WristRight:6.565156,1.29935,23.52686,0,0,0|HandRight:5.989725,1.341844,23.24367,0,0,0|HipLeft:5.196651,-1.514616,25.31574,0,0,0|KneeLeft:5.495054,-5.711725,25.04116,0,0,0|AnkleLeft:5.660357,-9.321095,25.24118,0,0,0|FootLeft:5.283002,-9.650165,23.82765,0,0,0|HipRight:6.641917,-1.430128,24.95043,0,0,0|KneeRight:7.057378,-5.846556,23.98311,0,0,0|AnkleRight:7.833395,-9.276285,24.5472,0,0,0|FootRight:8.110319,-10.07258,23.93794,0,0,0|SpineShoulder:5.652174,3.627562,25.70697,0,0,0|HandTipLeft:5.580456,3.171471,23.81143,0,0,0|ThumbLeft:5.826993,2.651745,24.20273,0,0,0|HandTipRight:5.669248,1.385106,22.93181,0,0,0|ThumbRight:6.078533,1.206548,22.77312,0,0,0|
